# contact impulse 0x13661c: case mu e c | v | K (3x3) | Kinv (3x3) | P
tank_world 0.252000004 0.0825000033 0.5 | 0 0 -10 | 0.01 0 0 0 0.01 0 0 0 0.01 | 100 0 0 0 100 0 0 0 100 | 0 0 1082.5
tank_world 0.252000004 0.0825000033 0.5 | 8 0 -3 | 0.01 0 0 0 0.01 0 0 0 0.01 | 100 0 0 0 100 0 0 0 100 | -81.836998 0 324.75
tank_world 0.252000004 0.0825000033 0.5 | 30 -5 -1 | 0.01 0 0 0 0.01 0 0 0 0.01 | 100 0 0 0 100 0 0 0 100 | -26.9078407 4.48464012 108.25
tank_world 0.252000004 0.0825000033 0.5 | 2 1 -20 | 0.01 0 0 0 0.01 0 0 0 0.01 | 100 0 0 0 100 0 0 0 100 | -100 -50 2165
tank_tank 0.0900000036 0.0225000009 0 | 0 0 -10 | 0.01 0 0 0 0.01 0 0 0 0.01 | 100 0 0 0 100 0 0 0 100 | 0 0 1022.50006
tank_tank 0.0900000036 0.0225000009 0 | 8 0 -3 | 0.01 0 0 0 0.01 0 0 0 0.01 | 100 0 0 0 100 0 0 0 100 | 0 0 306.75
tank_tank 0.0900000036 0.0225000009 0 | 30 -5 -1 | 0.01 0 0 0 0.01 0 0 0 0.01 | 100 0 0 0 100 0 0 0 100 | 0 0 102.25
tank_tank 0.0900000036 0.0225000009 0 | 2 1 -20 | 0.01 0 0 0 0.01 0 0 0 0.01 | 100 0 0 0 100 0 0 0 100 | 0 0 2045.00012
default_pair 0.705600023 0.30250001 1 | 0 0 -10 | 0.01 0 0 0 0.01 0 0 0 0.01 | 100 0 0 0 100 0 0 0 100 | 0 0 1302.5
default_pair 0.705600023 0.30250001 1 | 8 0 -3 | 0.01 0 0 0 0.01 0 0 0 0.01 | 100 0 0 0 100 0 0 0 100 | -275.713196 0 390.75
default_pair 0.705600023 0.30250001 1 | 30 -5 -1 | 0.01 0 0 0 0.01 0 0 0 0.01 | 100 0 0 0 100 0 0 0 100 | -90.6539459 15.1089907 130.25
default_pair 0.705600023 0.30250001 1 | 2 1 -20 | 0.01 0 0 0 0.01 0 0 0 0.01 | 100 0 0 0 100 0 0 0 100 | -200 -100 2605
random0 0 0.352378637 0.0645972937 | -13.0859499 19.0300903 -16.7313862 | 0.0656980947 0.0230737701 -0.0108942538 0.0230737701 0.0536165647 0.0176578742 -0.0108942538 0.0176578742 0.100147054 | 19.178093 -9.49147987 3.75977468 -9.49147987 24.4982033 -5.3520174 3.75977468 -5.3520174 11.3379793 | 0 0 225.939423
random1 0.927931905 0.0461790524 0.820016384 | -18.4489098 19.4014854 -5.23512602 | 0.0600923635 0.00819051638 0.0136455661 0.00819051638 0.0749199986 0.0130092427 0.0136455661 0.0130092427 0.0565148816 | 17.7169437 -1.24379396 -3.99146056 -1.24379396 13.9906168 -2.92020535 -3.99146056 -2.92020535 19.3304024 | 64.471138 -60.4827003 95.2663727
random2 0 0.826612055 1 | -0.372721553 -19.3098469 -8.93431377 | 0.0822205245 -0.0151241943 -0.0181295238 -0.0151241943 0.040936809 -0.00496731373 -0.0181295238 -0.00496731373 0.0514339022 | 14.5366974 6.06341219 5.70950794 6.06341219 27.246666 4.76863527 5.70950794 4.76863527 21.9154663 | 0 0 317.291199
random3 0.639644742 0.303199857 1 | -27.4309292 6.42103624 -1.14917147 | 0.0790103823 -0.0142729627 -0.00485740695 -0.0142729627 0.0734496415 -0.00293339952 -0.00485740695 -0.00293339952 0.0499804989 | 13.2194595 2.62631202 1.43888748 2.62631202 14.1685276 1.08680427 1.43888748 1.08680427 20.2114296 | 20.3669224 -1.03680861 31.8822193
random4 0 0.888489366 0 | 22.486227 -4.50453138 -19.9141197 | 0.042724546 -0.0249033477 0.00253380253 -0.0249033477 0.0708143413 -0.004756229 0.00253380253 -0.004756229 0.0461413376 | 29.4545803 10.3211403 -0.553568304 10.3211403 17.8364983 1.27180409 -0.553568304 1.27180409 21.8340359 | 0 0 815.052307
random5 0.583626449 0.288339138 0.534037769 | -5.32593107 20.394537 -23.6044788 | 0.0234069247 0.0115463287 0.00590814557 0.0115463287 0.0949648395 0.0307253711 0.00590814557 0.0307253711 0.0390393026 | 45.7857094 -4.46091986 -3.41822743 -4.46091986 14.5623474 -10.7859964 -3.41822743 -10.7859964 34.6214981 | 135.722733 -307.257935 1000.25653
random6 0 0.552119017 1.07490432 | 27.7167377 22.5334034 -27.6025696 | 0.0409842841 -0.0118390396 0.0150951175 -0.0118390396 0.031042058 -0.0209783483 0.0150951175 -0.0209783483 0.0453873761 | 28.689085 6.53459263 -6.52119923 6.53459263 48.3361893 20.1680088 -6.52119923 20.1680088 33.5231934 | 0 0 943.92926
random7 0.859449983 0.966275811 0 | -26.6276073 -20.2958298 -25.808157 | 0.0967001095 0.00485870382 0.00173333881 0.00485870382 0.0878159627 -0.0436596349 0.00173333881 -0.0436596349 0.0446267799 | 10.4514761 -1.51885045 -1.89187765 -1.51885045 22.3924389 21.9661465 -1.89187765 21.9661465 43.971653 | 0 0 1137.1189
random8 0 0.530933321 0 | -23.9571247 -21.7080154 -14.1012726 | 0.0598623902 -0.0182549097 0.0116746053 -0.0182549097 0.0728759021 0.00565373851 0.0116746053 0.00565373851 0.0302590895 | 20.1845093 5.74350023 -8.86075592 5.74350023 15.5581017 -5.12290812 -8.86075592 -5.12290812 37.4237785 | 0 0 713.442078
random9 0.860114872 0.663582325 1 | 17.2308159 23.2125282 -10.727211 | 0.0778178275 -0.0389240608 -0.0333381705 -0.0389240608 0.0687227473 0.0304829646 -0.0333381705 0.0304829646 0.0377002321 | 22.1792278 6.02247763 14.7434607 6.02247763 24.3237228 -14.3415775 14.7434607 -14.3415775 51.1586723 | -245.229614 -554.238342 704.635437
random10 0 0.28219083 0 | 11.3878164 -21.3267746 -9.67028713 | 0.0410059169 0.000295410951 -0.00887933653 0.000295410951 0.0303044636 0.00660864078 -0.00887933653 0.00660864078 0.0491626672 | 25.4279289 -1.28713012 4.76559401 -1.28713012 34.0601387 -4.81096935 4.76559401 -4.81096935 21.8480682 | 0 0 252.206696
random11 1.10561347 0.500492215 0.584313929 | -14.9026022 2.84895086 -3.02243972 | 0.0714536086 -0.0556281507 -0.0183196198 -0.0556281507 0.08476533 0.0054537477 -0.0183196198 0.0054537477 0.0556951351 | 32.2362213 20.602953 8.58588505 20.602953 25.0399208 4.32491732 8.58588505 4.32491732 20.3555145 | 107.107704 59.5218735 110.830193
random12 0.0349562168 0.408972174 0.5 | -14.5213289 21.0678158 -13.0786362 | 0.0660903156 0.0276726075 0.00395839242 0.0276726075 0.0915245563 0.0365555063 0.00395839242 0.0365555063 0.0424854681 | 17.8831348 -7.22415972 4.5496583 -7.22415972 19.5651836 -16.1612701 4.5496583 -16.1612701 37.0191078 | 8.43502617 -13.0352249 444.164886
random13 0.505456448 0.442565471 1.04999435 | -5.97732639 16.211647 -26.1454601 | 0.0697528049 -0.00941985287 0.00501315016 -0.00941985287 0.0241655037 -0.0122729298 0.00501315016 -0.0122729298 0.0305619724 | 15.133462 5.82673788 -0.142502978 5.82673788 54.2265892 20.8202801 -0.142502978 20.8202801 41.1046829 | -8.11559772 -314.912415 1108.97046
random14 0.679064512 0.0445719808 0.5 | -26.2297764 19.1349163 -3.74537158 | 0.102029651 -0.00331707997 0.0103372484 -0.00331707997 0.0610937774 0.0135174375 0.0103372484 0.0135174375 0.024304105 | 10.4059753 1.76097095 -5.40538168 1.76097095 18.9631958 -11.295928 -5.40538168 -11.295928 49.7269402 | 68.7559128 -112.699478 194.410431
random15 0 0.490639776 1 | 17.142828 14.4511051 -22.6194992 | 0.0799496919 0.0236972459 -0.00666373223 0.0236972459 0.047782395 -0.0126257446 -0.00666373223 -0.0126257446 0.0442400761 | 14.664196 -7.23448372 0.14415732 -7.23448372 26.2042141 6.38875628 0.14415732 6.38875628 24.4489498 | 0 0 762.148926
random16 0.232951537 0.734486163 0 | -17.0054779 17.2167358 -14.1339302 | 0.0663707927 -0.0155281341 -0.0118517792 -0.0155281341 0.062632829 0.0174585339 -0.0118517792 0.0174585339 0.0373102576 | 16.4537544 3.01572919 3.81546688 3.01572919 18.9136639 -7.89228296 3.81546688 -7.89228296 31.7073059 | 0 0 657.06073
random17 0 0.643217623 0.5 | 8.59160805 9.45754814 -3.05035114 | 0.0719524547 -0.0256856177 0.0211889111 -0.0256856177 0.058180511 -0.00539165037 0.0211889111 -0.00539165037 0.0499602556 | 18.7054672 7.59892893 -7.11320877 7.59892893 20.4485149 -1.01604331 -7.11320877 -1.01604331 22.9230804 | 0 0 100.32756
random18 1.03005159 0.301490277 0.381720632 | 6.98352575 -23.6858177 -7.20007181 | 0.0486832 0.00632646354 -0.0323079415 0.00632646354 0.0124582015 -0.0105222128 -0.0323079415 -0.0105222128 0.0547430739 | 33.7671394 -0.377048343 19.8560162 -0.377048343 95.8289566 18.1968403 19.8560162 18.1968403 33.4832878 | -9.01078892 212.782059 206.759338
random19 0 0.18149434 0 | 11.2338476 -5.88208628 -29.8061905 | 0.0554276928 -0.022406619 -0.02626241 -0.022406619 0.0691528618 0.0492955819 -0.02626241 0.0492955819 0.0653000101 | 22.3929539 1.80948925 7.6400156 1.80948925 31.4557343 -23.0184822 7.6400156 -23.0184822 35.7634659 | 0 0 539.293091
random20 0 0.807551086 0.5 | -9.77057552 -28.118639 -20.2710476 | 0.0445783548 -0.0147384871 -0.0109467786 -0.0147384871 0.042236764 -0.012592311 -0.0109467786 -0.012592311 0.0674776807 | 27.9781361 11.7710428 6.73548746 11.7710428 30.023262 7.51236916 6.73548746 7.51236916 17.3143177 | 0 0 543.008545
random21 0 0.873183846 0.252266824 | -15.7821207 -2.58209944 -1.72324431 | 0.0839468911 -0.050461702 0.0556274354 -0.050461702 0.0607589185 -0.0309605524 0.0556274354 -0.0309605524 0.0560059771 | 50.5208702 22.8162975 -37.5663719 22.8162975 33.2171516 -4.29937649 -37.5663719 -4.29937649 52.7909698 | 0 0 57.6358757
random22 0.873220146 0.981108308 0.883784235 | -2.54506135 -29.2050533 -28.4510651 | 0.0363201685 -0.001802049 0.00712819817 -0.001802049 0.0635296404 -0.0326973535 0.00712819817 -0.0326973535 0.0357829817 | 29.2051392 -4.08890629 -9.55416298 -4.08890629 30.2885342 28.4912376 -9.55416298 28.4912376 55.8838844 | -280.083557 1488.9801 2991.55737
