# Battlezone PSP golden damage traces from Vehicle::takeDamage 0x99be8 run under emulation.
# state fields: hp hpMax sinceDamage invulnerable shieldActive shieldHp armorActive armorScale frozen dead comboT6 comboN2
# line: case hit time damage bulletId | pre... | post...
plain_hits 0 0 12 5 | 200 200 5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 | 188 200 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
plain_hits 1 0.1 12 5 | 188 200 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 | 176 200 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
plain_hits 2 0.2 50 -1 | 176 200 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 | 126 200 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
fusion_combo 0 0 25 8 | 325 325 5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 | 300 325 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
fusion_combo 1 0.5 25 8 | 300 325 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 | 275 325 0 0 0 0 0 1 0 0 0 0 0 0 0.5 0 0 2
fusion_combo 2 1 25 8 | 275 325 0 0 0 0 0 1 0 0 0 0 0 0 0.5 0 0 2 | 0 325 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
fusion_combo 3 1.2 25 8 | 0 325 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 | 0 325 0 0 0 0 0 1 0 1 0 0 0 1.20000005 0 0 0 1
fusion_slow 0 0 25 8 | 325 325 5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 | 300 325 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
fusion_slow 1 3 25 8 | 300 325 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 | 275 325 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 2
fusion_slow 2 3.5 25 8 | 275 325 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 2 | 250 325 0 0 0 0 0 1 0 0 0 0 0 3 3.5 0 0 2
fusion_slow 3 4 25 8 | 250 325 0 0 0 0 0 1 0 0 0 0 0 3 3.5 0 0 2 | 0 325 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
swarm_combo 0 0 10 14 | 325 325 5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 | 315 325 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
swarm_combo 1 1.9 10 14 | 315 325 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 | 305 325 0 0 0 0 0 1 0 0 0 1.89999998 0 0 0 0 2 0
swarm_combo 2 3.8 10 14 | 305 325 0 0 0 0 0 1 0 0 0 1.89999998 0 0 0 0 2 0 | 175 325 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
mixed_ids 0 0 25 8 | 325 325 5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 | 300 325 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
mixed_ids 1 0.2 10 14 | 300 325 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 | 290 325 0 0 0 0 0 1 0 0 0.200000003 0 0 0 0 0 1 1
mixed_ids 2 0.4 25 8 | 290 325 0 0 0 0 0 1 0 0 0.200000003 0 0 0 0 0 1 1 | 265 325 0 0 0 0 0 1 0 0 0.200000003 0 0 0 0.400000006 0 1 2
mixed_ids 3 0.6 10 14 | 265 325 0 0 0 0 0 1 0 0 0.200000003 0 0 0 0.400000006 0 1 2 | 255 325 0 0 0 0 0 1 0 0 0.200000003 0.600000024 0 0 0.400000006 0 2 2
mixed_ids 4 0.8 25 8 | 255 325 0 0 0 0 0 1 0 0 0.200000003 0.600000024 0 0 0.400000006 0 2 2 | 0 325 0 0 0 0 0 1 0 1 0.200000003 0.600000024 0 0 0 0 2 0
shield_absorb 0 0 100 5 | 200 200 5 0 1 150 0 1 0 0 0 0 0 0 0 0 0 0 | 200 200 5 0 1 50 0 1 0 0 0 0 0 0 0 0 0 0
shield_absorb 1 0.1 30 5 | 200 200 5 0 1 50 0 1 0 0 0 0 0 0 0 0 0 0 | 200 200 5 0 1 20 0 1 0 0 0 0 0 0 0 0 0 0
shield_absorb 2 0.2 40 5 | 200 200 5 0 1 20 0 1 0 0 0 0 0 0 0 0 0 0 | 180 200 0 0 0 20 0 1 0 0 0 0 0 0 0 0 0 0
shield_absorb 3 0.3 40 5 | 180 200 0 0 0 20 0 1 0 0 0 0 0 0 0 0 0 0 | 140 200 0 0 0 20 0 1 0 0 0 0 0 0 0 0 0 0
armor_scale 0 0 100 5 | 200 200 5 0 0 0 1 0.800000012 0 0 0 0 0 0 0 0 0 0 | 120 200 0 0 0 0 1 0.800000012 0 0 0 0 0 0 0 0 0 0
armor_scale 1 0.1 100 5 | 120 200 0 0 0 0 1 0.800000012 0 0 0 0 0 0 0 0 0 0 | 40 200 0 0 0 0 1 0.800000012 0 0 0 0 0 0 0 0 0 0
armor_scale 2 0.2 100 5 | 40 200 0 0 0 0 1 0.800000012 0 0 0 0 0 0 0 0 0 0 | 0 200 0 0 0 0 1 0.800000012 0 1 0 0 0 0 0 0 0 0
armor_and_shield 0 0 170 5 | 105 105 5 0 1 150 1 0.800000012 0 0 0 0 0 0 0 0 0 0 | 105 105 5 0 1 14 1 0.800000012 0 0 0 0 0 0 0 0 0 0
armor_and_shield 1 0.1 60 5 | 105 105 5 0 1 14 1 0.800000012 0 0 0 0 0 0 0 0 0 0 | 71 105 0 0 0 14 1 0.800000012 0 0 0 0 0 0 0 0 0 0
frozen_shatter 0 0 1 5 | 325 325 5 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 | 0 325 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0
frozen_zero_damage 0 0 0 5 | 325 325 5 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 | 325 325 5 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
invulnerable 0 0 500 5 | 105 105 5 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 | 105 105 5 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
overkill 0 0 400 18 | 105 105 5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 | 0 105 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
overkill 1 0.5 10 5 | 0 105 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 | 0 105 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
