# Battlezone PSP golden tank traces from HoverTank::drive 0x954a0 run under emulation.
# state fields: right3 up3 at3 pos3 vel3 omega3 probeT4 probeIndex airborne tooSteep steerHold steerDir maxFwdSpeed nitroMeter nitroMult nitroDuration nitroEngaged nitroForced nitroOverspeedTimer lastFwdSpeed slowed slowFactor dead
# line: scenario tick dt steer throttle strafe boost ground | pre... | post...
idle_medium 1 0 0.03333333333333333 0 0 0 0 0:0 | 1 0 0 0 1 0 0 0 1 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 68 1 1 1 0 0 0 0 0 1 0 | 1 0 0 0 1 0 0 0 1 0 6 0 0 2.87674856 0 0 0 0 0.600000024 0.600000024 0.600000024 0.600000024 1 0 0 0 0 68 1 1 1 0 0 0 0 0 1 0
idle_medium 1 1 0.03333333333333333 0 0 0 0 0:0 | 1 0 0 0 1 0 0 0 1 0 6.06255817 0 0 1.87674856 0 0 0 0 0.600000024 0.600000024 0.600000024 0.600000024 1 0 0 0 0 68 1 1 1 0 0 0 0 0 1 0 | 1 0 0 0 1 0 0 0 1 0 6.06255817 0 0 4.4542346 0 0.0178022999 0 0.0178022459 0.600000024 0.606255829 0.600000024 0.600000024 2 0 0 0 0 68 1 1 1 0 0 0 0 0 1 0
idle_medium 1 2 0.03333333333333333 0 0 0 0 0:0 | 0.999999821 0.000593408127 1.76067175e-07 -0.000593408127 0.999999642 0.000593409932 1.76067175e-07 -0.000593409932 0.999999821 0 6.17769909 0 0 3.4542346 0 0.0178022999 0 0.0178022459 0.600000024 0.606255829 0.600000024 0.600000024 2 0 0 0 0 68 1 1 1 0 0 0 0 0 1 0 | 0.999999821 0.000593408127 1.76067175e-07 -0.000593408127 0.999999642 0.000593409932 1.76067175e-07 -0.000593409932 0.999999821 0 6.17769909 0 -0.00028678088 5.68122482 0.000187821861 -0.0209902432 0 -0.0209903326 0.600000024 0.606255829 0.618007302 0.600000024 3 0 0 0 0 68 1 1 1 0 0 0 -0.00318347337 0 1 0
idle_medium 1 3 0.03333333333333333 0 0 0 0 0:0 | 1 -0.000106269552 5.64786484e-09 0.000106269552 1 -0.000106264772 5.64484459e-09 0.000106264772 1 -9.5593623e-06 6.33373976 6.2607287e-06 -0.00028678088 4.68122482 0.000187821861 -0.0209902432 0 -0.0209903326 0.600000024 0.606255829 0.618007302 0.600000024 3 0 0 0 0 68 1 1 1 0 0 0 -0.00318347337 0 1 0 | 1 -0.000106269552 5.64786484e-09 0.000106269552 1 -0.000106264772 5.64484459e-09 0.000106264772 1 -9.5593623e-06 6.33373976 6.2607287e-06 -0.000195605026 6.5472393 0.00018919268 -0.138372764 0 0.0450832881 0.600000024 0.606255829 0.618007302 0.633373976 0 0 0 0 0 68 1 1 1 0 0 0 0.000884933572 0 1 0
idle_medium 1 4 0.03333333333333333 0 0 0 0 0:0 | 0.999999046 0.00139650214 -2.96990879e-06 -0.00139650051 0.9999879 -0.00471867155 -3.61976163e-06 0.00471867109 0.999988854 -1.60795298e-05 6.51864767 1.25671513e-05 -0.000195605026 5.5472393 0.00018919268 -0.138372764 0 0.0450832881 0.600000024 0.606255829 0.618007302 0.633373976 0 0 0 0 0 68 1 1 1 0 0 0 0.000884933572 0 1 0 | 0.999999046 0.00139650214 -2.96990879e-06 -0.00139650051 0.9999879 -0.00471867155 -3.61976163e-06 0.00471867109 0.999988854 -1.60795298e-05 6.51864767 1.25671513e-05 -0.000838146545 7.03937674 0.000973534537 -0.0731021911 0 -0.0534722358 0.653087795 0.606255829 0.618007302 0.633373976 1 0 0 0 0 68 1 1 1 0 0 0 0.0341900289 0 1 0
idle_medium 1 5 0.03333333333333333 0 0 0 0 0:0 | 0.99999994 -0.000385914987 -4.2011784e-06 0.000385875057 0.99997431 -0.00715536717 6.96243387e-06 0.00715536484 0.99997443 -4.40177464e-05 6.71996021 4.50183034e-05 -0.000838146545 6.03937674 0.000973534537 -0.0731021911 0 -0.0534722358 0.653087795 0.606255829 0.618007302 0.633373976 1 0 0 0 0 68 1 1 1 0 0 0 0.0341900289 0 1 0 | 0.99999994 -0.000385914987 -4.2011784e-06 0.000385875057 0.99997431 -0.00715536717 6.96243387e-06 0.00715536484 0.99997443 -4.40177464e-05 6.71996021 4.50183034e-05 -0.000547057076 7.203825 0.0024009191 0.144778058 0 0.0549991205 0.653087795 0.673504233 0.618007302 0.633373976 2 0 0 0 0 68 1 1 1 0 0 0 0.053946849 0 1 0
idle_medium 1 6 0.03333333333333333 0 0 0 0 0:0 | 0.999998927 0.00144740613 -1.63982861e-06 -0.00144740602 0.999996245 -0.00232949178 -1.73189835e-06 0.00232949178 0.999997258 -6.22529842e-05 6.92675447 0.000125048944 -0.000547057076 6.203825 0.0024009191 0.144778058 0 0.0549991205 0.653087795 0.673504233 0.618007302 0.633373976 2 0 0 0 0 68 1 1 1 0 0 0 0.053946849 0 1 0 | 0.999998927 0.00144740613 -1.63982861e-06 -0.00144740602 0.999996245 -0.00232949178 -1.73189835e-06 0.00232949178 0.999997258 -6.22529842e-05 6.92675447 0.000125048944 -0.00109723047 7.10969114 0.00279748393 0.104464948 0 -0.05736918 0.653087795 0.673504233 0.692499042 0.633373976 3 0 0 0 0 68 1 1 1 0 0 0 0.0193594452 0 1 0
idle_medium 1 7 0.03333333333333333 0 0 0 0 0:0 | 0.999999881 -0.000464898563 7.08003185e-08 0.000464898185 0.999999225 0.00115266966 -6.06674746e-07 -0.00115266955 0.999999344 -9.88273314e-05 7.13041067 0.000218298403 -0.00109723047 6.10969114 0.00279748393 0.104464948 0 -0.05736918 0.653087795 0.673504233 0.692499042 0.633373976 3 0 0 0 0 68 1 1 1 0 0 0 0.0193594452 0 1 0 | 0.999999881 -0.000464898563 7.08003185e-08 0.000464898185 0.999999225 0.00115266966 -6.06674746e-07 -0.00115266955 0.999999344 -9.88273314e-05 7.13041067 0.000218298403 -0.000763253949 6.7773819 0.00271264394 -0.110785149 0 0.0556282252 0.653087795 0.673504233 0.692499042 0.713364601 0 0 0 0 0 68 1 1 1 0 0 0 -0.00509943906 0 1 0
idle_medium 1 8 0.03333333333333333 0 0 0 0 0:0 | 0.999999046 0.00138937437 -1.63617187e-06 -0.00138937403 0.999995828 -0.00254016463 -1.89307468e-06 0.00254016463 0.999996781 -0.000124269136 7.32298994 0.000308719871 -0.000763253949 5.7773819 0.00271264394 -0.110785149 0 0.0556282252 0.653087795 0.673504233 0.692499042 0.713364601 0 0 0 0 0 68 1 1 1 0 0 0 -0.00509943906 0 1 0 | 0.999999046 0.00138937437 -1.63617187e-06 -0.00138937403 0.999995828 -0.00254016463 -1.89307468e-06 0.00254016463 0.999996781 -0.000124269136 7.32298994 0.000308719871 -0.0011568272 6.26189756 0.00314149843 -0.0771427378 0 -0.0456378274 0.733084917 0.673504233 0.692499042 0.713364601 1 0 0 0 0 68 1 1 1 0 0 0 0.0190477408 0 1 0
idle_medium 1 9 0.03333333333333333 0 0 0 0 0:0 | 1 -0.000131893263 -3.25293195e-06 0.000131874913 0.999986947 -0.00511156907 3.92707079e-06 0.00511156861 0.999986947 -0.000162830038 7.49838638 0.000413436472 -0.0011568272 5.26189756 0.00314149843 -0.0771427378 0 -0.0456378274 0.733084917 0.673504233 0.692499042 0.713364601 1 0 0 0 0 68 1 1 1 0 0 0 0.0190477408 0 1 0 | 1 -0.000131893263 -3.25293195e-06 0.000131874913 0.999986947 -0.00511156907 3.92707079e-06 0.00511156861 0.999986947 -0.000162830038 7.49838638 0.000413436472 -0.000957018347 5.61737251 0.00404238235 0.105738454 0 0.0469942018 0.733084917 0.750887334 0.692499042 0.713364601 2 0 0 0 0 68 1 1 1 0 0 0 0.0327559114 0 1 0
